,path,remedies,num_remedies
152,"MIND - WEEPING, tearful mood, etc. - night - weeps all night, laughs all day", Stram.(1),1
153,"MIND - WEEPING, tearful mood, etc. - evening"," Acon.(1), Alum.(1), Am-c.(1), Am-m.(1), Calc.(2), Carb-an.(1), Clem.(1), Coca(1), Graph.(2), Hyper.(1), Kali-c.(1), Kali-i.(1), Mez.(1), Nat-m.(1), Plat.(2), Ran-b.(2), Rhus-t.(2), Sil.(1), Stram.(1), Sulph.(1), Verat.(2)",21
154,"MIND - WEEPING, tearful mood, etc. - evening - amel, in"," Am-c.(1), Castm.(1), Graph.(1)",3
155,"MIND - WEEPING, tearful mood, etc. - afternoon"," Carb-v.(1), Castm.(1), Cop.(1), Dig.(1), Phos.(1), Sil.(2), Tarent.(1)",7
156,"MIND - WEEPING, tearful mood, etc. - afternoon - from 16:00 to 20:00", Lyc.(3),1
157,"MIND - WEEPING, tearful mood, etc. - afternoon - 16:00", Puls.(1),1
158,"MIND - WEEPING, tearful mood, etc. - forenoon - inclined to, at 11:00", Sulph.(3),1
159,"MIND - WEEPING, tearful mood, etc. - morning"," Alumn.(1), Am-c.(1), Bell.(1), Borx.(1), Canth.(1), Carb-an.(1), Dulc.(1), Kreos.(1), Lach.(2), Phos.(1), Plat.(1), Prun.(1), Puls.(1), Rhus-t.(1), Sars.(1), Sil.(1), Spong.(1), Stram.(1), Sulph.(1), Tarent.(1)",20
160,"MIND - WEEPING, tearful mood, etc. - daytime"," Alum.(1), Bry.(1), Lyc.(1), Mez.(1)",4
161,MIND - WEARY of life," Agn.(1), Ambr.(1), Am-c.(1), Ant-c.(1), Apis(1), Aran-ix.(1), Ars.(3), Aur.(3), Bell.(2), Berb.(1), Bov.(1), Calc.(1), Carb-v.(1), Caust.(1), Chin.(3), Chinin-ar.(1), Grat.(1), Hep.(1), Hipp.(1), Hyos.(1), Kali-p.(2), Kreos.(1), Lach.(1), Laur.(1), Led.(1), Lyc.(1), Manc.(1), Merc.(1), Mez.(1), Mur-ac.(1), Nat-c.(1), Nat-m.(2), Nit-ac.(2), Nux-v.(2), Phos.(3), Phyt.(1), Pitu.(3), Plat.(1), Plb.(1), Puls.(2), Rhus-t.(2), Rhus-v.(1), Ruta(1), Sep.(1), Sil.(2), Spong.(1), Staph.(1), Stram.(1), Sul-ac.(1), Sulph.(1), Thuja(1), Valer.(1), Verat.(1)",53
162,MIND - WEARY of life - walking in open air - while, Bell.(1),1
163,MIND - WEARY of life - perspiration agg.," Alum.(1), Aur.(2), Calc.(3), Hep.(1), Merc.(2), Sil.(1)",6
164,MIND - WEARY of life - menses - during, Berb.(1),1
165,"MIND - WEARY of life - heat, during"," Bell.(1), Chin.(1), Lach.(1), Stram.(1), Valer.(1)",5
166,"MIND - WEARY of life - air, in open", Mur-ac.(1),1
167,MIND - WEARY of life - night," Ant-c.(1), Nux-v.(1)",2
168,MIND - WEARY of life - evening," Aur.(3), Dros.(1), Hep.(1), Kali-chl.(1), Rhus-t.(1), Ruta(1), Spig.(1)",7
169,MIND - WEARY of life - afternoon," Mur-ac.(1), Ruta(1)",2
170,MIND - WEARY of life - forenoon, Apis(1),1
171,"MIND - WEARY of life - morning - waking, on"," Nat-c.(1), Phyt.(1)",2
172,"MIND - WEARY of life - morning - bed, in", Lyc.(1),1
173,MIND - WEARISOME," Acetan.(1), Acon.(1), Aeth.(1), Alum.(1), Am-m.(1), Anac.(1), Ant-c.(1), Arg-n.(1), Arn.(1), Ars.(1), Asar.(1), Bell.(1), Bism.(1), Bov.(1), Bry.(1), Calc.(1), Calc-s.(2), Cann-s.(1), Caps.(1), Carb-an.(1), Caust.(1), Cham.(1), Chin.(1), Clem.(1), Cocc.(1), Colch.(1), Coloc.(1), Con.(1), Cupr.(1), Cycl.(1), Dig.(1), Euon.(2), Graph.(1), Grat.(2), Guaj.(1), Hep.(1), Ign.(1), Indg.(1), Ip.(1), Kali-c.(1), Kreos.(1), Lach.(1), Led.(1), Lyc.(1), Mang.(2), Merc.(1), Mez.(1), Mur-ac.(1), Nat-c.(1), Nat-m.(1), Nat-s.(1), Nit-ac.(1), Nux-v.(1), Olnd.(1), Petr.(1), Ph-ac.(2), Phos.(1), Plat.(1), Puls.(1), Ran-b.(1), Rat.(1), Rheum(1), Rhus-t.(1), Sabin.(1), Samb.(1), Sars.(1), Sep.(1), Spong.(1), Squil.(1), Staph.(2), Stront-c.(2), Sul-ac.(2), Sulph.(1), Teucr.(1), Thuja(1), Verb.(1), Viol-t.(1), Zinc.(2)",78
174,"MIND - WEARISOME - air, in open"," Aeth.(1), Sabin.(1)",2
175,MIND - WEARISOME - evening," Mag-c.(1), Puls.(1), Zinc.(2)",3
176,MIND - WEARISOME - morning, Am-c.(1),1
177,MIND - WEAK character," Agar.(2), Caust.(2), Lyc.(2), Sil.(2)",4
178,MIND - WASHING - desire to - always washing her hands," Ars.(1), Coca(1), Cur.(1), Lac-c.(2), Med.(2), Nat-m.(2), Psor.(2), Sep.(1), Sulph.(2), Syph.(4), Thuja(1)",11
179,MIND - WANTS - nothing, Op.(2),1
180,MIND - WANDER - desires to," Calc-p.(2), Cimic.(1), Merc.(1), Sanic.(1), Tub.(2), Verat.(1)",6
181,MIND - WALKING - slowly - and dignified, Caj.(1),1
182,MIND - WALKING - rapidly - from anxiety," Arg-n.(1), Fl-ac.(2), Sep.(2)",3
183,MIND - WALKING - rapidly - agg., Ang.(1),1
184,MIND - WALKING - rapidly - agg. - confusion and sense of contraction of the head, Ang.(1),1
185,"MIND - waking, wakened, being, agg.", Cocc.(1),1
186,MIND - VIVACIOUS," Aloe(1), Alum.(1), Ang.(1), Apis(2), Arg-met.(1), Cann-s.(1), Chin.(1), Cob.(1), Cocc.(1), Coff.(2), Crot-h.(1), Cupr.(1), Cycl.(1), Gels.(1), Glon.(1), Hipp.(1), Hyos.(2), Lach.(3), Nat-c.(1), Nux-v.(1), Par.(1), Petr.(1), Ph-ac.(1), Sabad.(1), Sul-ac.(1), Valer.(1), Verat.(1)",27
187,MIND - VIVACIOUS - alternating with - sorrow, Tarent.(1),1
188,"MIND - VIOLENT, vehement, etc."," Abrot.(1), Acon.(1), Aesc.(1), Ambr.(1), Am-c.(1), Anac.(2), Ang.(1), Apis(1), Arn.(1), Ars.(1), Aur.(3), Bar-c.(1), Bell.(3), Borx.(1), Bry.(2), Calc.(1), Calc-p.(1), Camph.(1), Canth.(1), Carbn-s.(2), Carb-v.(2), Caust.(1), Cham.(2), Cic.(3), Coloc.(1), Corn.(1), Croc.(1), Cupr.(1), Dros.(1), Dulc.(1), Ferr.(1), Graph.(1), Hep.(1), Hyos.(3), Iod.(1), Kali-c.(1), Kali-p.(2), Lach.(1), Led.(2), Lyc.(2), Lyss.(3), Mang.(1), Med.(1), Merc.(1), Merl.(1), Mez.(1), Mosch.(1), Nat-c.(1), Nat-m.(2), Nit-ac.(1), Nux-v.(3), Olnd.(1), Petr.(2), Phos.(2), Plat.(1), Ran-b.(1), Sabad.(1), Seneg.(1), Sep.(2), Stann.(1), Stram.(4), Stront-c.(1), Sulph.(2), Tarent.(2), Tub.(2), Verat.(2), Visc.(2)",67
189,"MIND - VIOLENT, vehement, etc. - pain, from"," Aur.(3), Cham.(3), Hep.(3)",3
190,"MIND - VIOLENT, vehement, etc. - deeds of violence, rage, leading to"," Anac.(1), Aur.(2), Bar-c.(1), Bell.(2), Chin.(1), Cocc.(1), Con.(1), Hep.(2), Hyos.(1), Ign.(2), Lach.(1), Lyc.(1), Mosch.(1), Nat-c.(1), Nux-v.(2), Plat.(1), Stram.(3), Tarent.(1), Zinc.(1)",19
191,"MIND - VIOLENT, vehement, etc. - evening", Mill.(1),1
192,"MIND - VIOLENT, vehement, etc. - evening - trifles, at"," Hep.(1), Nat-m.(2)",2
193,"MIND - VIOLENT, vehement, etc. - evening - siesta - after", Caust.(1),1
194,"MIND - VIOLENT, vehement, etc. - evening - dinner - after", Mill.(1),1
195,"MIND - VIOLENT, vehement, etc. - forenoon", Carb-v.(1),1
196,"MIND - VIOLENT, vehement, etc. - morning, in"," Calc.(1), Carb-v.(1), Gamb.(1), Graph.(1), Petr.(1), Psor.(1)",6
197,MIND - VIOLENCE - aversion to," Asar.(2), Calc.(1), Hep.(1), Mag-c.(2), Mag-m.(1), Phos.(1), Staph.(1), Stram.(2)",8
198,MIND - VERSES - makes," Agar.(2), Ant-c.(2), Cann-i.(1), Chin.(1), Staph.(1), Stram.(1), Thea(1)",7
199,"MIND - VERSES - makes - falling asleep, after", Nat-m.(1),1
200,MIND - VENERATION, Coff.(1),1
201,"MIND - USEFUL, desire to be", Cere-b.(2),1
202,"MIND - UNWORTHY, objects seem", Chin.(2),1
203,MIND - UNTRUTHFUL," Alco.(1), Arg-met.(1), Arg-n.(2), Morph.(1), Op.(3), Thuja(1), Verat.(2)",7
204,MIND - UNTIDY," Calc.(1), Merc.(2), Sulph.(3)",3
205,MIND - UNSYMPATHETIC," Anac.(2), Carb-v.(1), Dig.(2), Nit-ac.(1), Plat.(1)",5
206,"MIND - UNSYMPATHETIC - friends, towards", Arg-met.(1),1
207,"MIND - UNREAL, everything seems"," Ail.(1), Alum.(2), Aran-ix.(1), Cann-i.(1), Cann-s.(1), Cocc.(2), Lac-c.(1), Lil-t.(1), Med.(2), Staph.(1)",10
208,MIND - UNOBSERVING," Alum.(1), Asaf.(1), Asar.(1), Bar-c.(1), Caust.(2), Kali-c.(1), Merc.(1), Nat-c.(1), Petr.(1), Ph-ac.(1), Plat.(1), Sep.(1), Sulph.(1), Thuja(1)",14
209,MIND - UNFRIENDLY humor," Am-c.(1), Mag-m.(1), Plat.(1)",3
210,"MIND - UNFORTUNATE, feels"," Am-c.(1), Bry.(1), Chin.(2), Cub.(1), Hura(1), Ip.(1), Lyc.(1), Sep.(1), Verat.(1)",9
211,MIND - UNFEELING, Anac.(3),1
212,MIND - UNDERTAKES - things opposed to his intentions," Magt-p-a.(1), Sep.(1)",2
213,"MIND - UNDERTAKES - nothing, lest he fails"," Arg-n.(2), Sil.(1)",2
214,"MIND - UNDERTAKES - many things, perseveres in nothing"," Acon.(2), Lac-c.(2), Lach.(2), Med.(2), Plan.(1), Sanic.(1), Sulph.(1)",7
215,MIND - UNDERTAKES - lacks will power to undertake anything," Agar.(2), Phos.(1), Pic-ac.(2), Sulph.(1)",4
216,MIND - UNCONSCIOUSNESS," Absin.(1), Acet-ac.(1), Acon.(3), Act-sp.(1), Aesc.(1), Aeth.(1), Agar.(1), Ail.(2), Alum.(2), Ambr.(1), Am-c.(1), Am-m.(1), Amyg.(1), Anac.(2), Ant-c.(1), Anthraci.(1), Ant-t.(1), Apis(2), Apoc.(1), Arg-n.(2), Arn.(2), Ars.(2), Ars-h.(1), Arum-t.(2), Asar.(1), Aster.(2), Bapt.(2), Bar-c.(3), Bar-m.(2), Bell.(3), Benz.(1), Bism.(1), Bov.(1), Bry.(2), Bufo(1), Cact.(2), Cadm-s.(1), Calad.(2), Calc.(1), Camph.(2), Cann-i.(3), Cann-s.(1), Canth.(2), Carb-ac.(1), Carbn-h.(2), Carbn-o.(2), Carbn-s.(2), Carb-v.(2), Caust.(2), Cham.(2), Chel.(2), Chin.(2), Chinin-s.(1), Chlol.(1), Cic.(2), Cimic.(1), Cina(2), Cocc.(3), Coff.(2), Colch.(2), Con.(2), Cor-r.(1), Croc.(1), Crot-c.(2), Crot-h.(2), Cupr.(2), Cupr-ar.(1), Cycl.(2), Dig.(2), Dulc.(1), Elaps(1), Ether(1), Euph.(1), Ferr.(1), Ferr-ar.(1), Fl-ac.(1), Gels.(2), Glon.(2), Graph.(1), Guaj.(1), Ham.(1), Hell.(3), Hep.(2), Hydr-ac.(3), Hyos.(3), Ign.(3), Ip.(1), Kali-bi.(1), Kali-br.(2), Kali-c.(2), Kali-i.(1), Kali-n.(1), Kreos.(1), Lac-d.(2), Lach.(3), Lact.(1), Laur.(2), Led.(2), Lil-t.(2), Lob-p.(1), Lyc.(2), Mag-c.(1), Mag-m.(1), Manc.(1), Merc.(1), Merc-c.(2), Mez.(1), Mosch.(3), Mur-ac.(2), Naja(1), Nat-c.(1), Nat-m.(2), Nat-p.(1), Nit-ac.(1), Nux-m.(3), Nux-v.(2), Oena.(2), Ol-an.(2), Olnd.(2), Op.(3), Ox-ac.(1), Petr.(2), Ph-ac.(3), Phos.(2), Plat.(2), Plb.(2), Puls.(3), Ran-b.(1), Rheum(1), Rhod.(1), Rhus-t.(2), Ruta(1), Sabad.(1), Sabin.(1), Sars.(1), Sec.(2), Sel.(1), Sep.(1), Sil.(2), Sol-nig.(2), Spig.(1), Squil.(1), Stann.(1), Staph.(1), Stram.(2), Sul-ac.(1), Sulph.(2), Tab.(1), Tanac.(1), Tarax.(1), Tax.(1), Ter.(2), Valer.(1), Verat.(2), Verat-v.(1), Verb.(1), Vesp.(1), Viol-o.(1), Vip.(1), Visc.(1), Zinc.(2)",161
217,MIND - UNCONSCIOUSNESS - warm room," Acon.(2), Lach.(2), Lyc.(2), Puls.(3), Tab.(1)",5
218,"MIND - UNCONSCIOUSNESS - walking, while"," Calc.(1), Carb-an.(1), Grat.(1)",3
219,"MIND - UNCONSCIOUSNESS - walking, while - air, in open"," Canth.(1), Caust.(1), Sulph.(1)",3
220,MIND - UNCONSCIOUSNESS - waking - after," Con.(1), Kali-br.(1), Sel.(1), Stram.(1)",4
221,MIND - UNCONSCIOUSNESS - waking - on," Aesc.(1), Aster.(1), Chel.(1), Chin.(1), Mag-c.(1), Mez.(1), Nat-c.(1), Phos.(1)",8
222,MIND - UNCONSCIOUSNESS - vomiting - amel.," Acon.(1), Tab.(1), Tanac.(1)",3
223,MIND - UNCONSCIOUSNESS - vertigo - during," Acon.(1), Aeth.(1), Agar.(1), Arg-n.(1), Arn.(1), Ars.(1), Bell.(1), Borx.(1), Bov.(1), Canth.(1), Carb-an.(1), Chel.(1), Chinin-s.(1), Cocc.(1), Ferr.(1), Grat.(1), Iod.(1), Jatr-c.(1), Kreos.(1), Lach.(1), Laur.(1), Lyc.(1), Mag-c.(1), Merc.(1), Mez.(1), Mill.(1), Mosch.(1), Nat-m.(1), Nux-m.(1), Nux-v.(1), Op.(1), Ran-s.(1), Sec.(1), Sep.(1), Sil.(1), Stram.(1), Tab.(1), Zinc.(1)",38
224,"MIND - UNCONSCIOUSNESS - twitching of limbs, with"," Agar.(2), Cupr.(1), Op.(1)",3
225,"MIND - UNCONSCIOUSNESS - trifles, at", Sep.(2),1
226,MIND - UNCONSCIOUSNESS - transient," Arn.(1), Asaf.(1), Bov.(1), Bufo(1), Calad.(1), Calc.(1), Cann-i.(1), Canth.(1), Carb-an.(1), Chel.(1), Hep.(1), Ign.(3), Lyss.(1), Med.(1), Mosch.(2), Nat-m.(2), Ol-an.(1), Puls.(3), Rhus-t.(1), Sec.(1), Sil.(1), Zinc.(1)",22
227,"MIND - UNCONSCIOUSNESS - transient - afternoon - warm room, in", Puls.(3),1
228,"MIND - UNCONSCIOUSNESS - transient - morning - rising, on - drowsiness in head", Rhod.(1),1
229,"MIND - UNCONSCIOUSNESS - trance, as in a"," Lach.(3), Laur.(2), Tab.(1)",3
230,"MIND - UNCONSCIOUSNESS - talking, while", Lyc.(1),1
231,"MIND - UNCONSCIOUSNESS - suppression of eruptions, after", Zinc.(1),1
232,"MIND - UNCONSCIOUSNESS - sunstroke, in", Nat-c.(2),1
233,MIND - UNCONSCIOUSNESS - sudden," Absin.(1), Cann-i.(1), Canth.(2), Carbn-h.(1), Carbn-o.(1), Cocc.(2), Kali-c.(1), Nux-m.(1), Plb.(1)",9
234,"MIND - UNCONSCIOUSNESS - stooping, when"," Calc.(1), Hell.(1)",2
235,MIND - UNCONSCIOUSNESS - stool - after," Calc.(1), Cocc.(1), Phos.(2), Ter.(2)",4
236,MIND - UNCONSCIOUSNESS - stool - during," Aloe(1), Ox-ac.(1), Sulph.(2)",3
237,MIND - UNCONSCIOUSNESS - stool - before," Ars.(2), Dig.(1)",2
238,"MIND - UNCONSCIOUSNESS - standing, while"," Ant-t.(1), Aur.(1), Bov.(1), Lyc.(1), Nux-m.(1), Rhus-t.(1), Sars.(1)",7
239,"MIND - UNCONSCIOUSNESS - standing, while - having dress fitted", Nux-m.(1),1
240,"MIND - UNCONSCIOUSNESS - somnolence with, without snoring, eyes being closed", Ph-ac.(1),1
241,"MIND - UNCONSCIOUSNESS - sitting, while"," Asaf.(1), Bell.(1), Carb-an.(1), Caust.(2), Mosch.(1), Nat-m.(1), Sil.(1), Tarax.(1)",8
242,MIND - UNCONSCIOUSNESS - rubbing soles of feet amel., Chel.(1),1
243,"MIND - UNCONSCIOUSNESS - rising up, on"," Arn.(2), Bry.(3), Carb-v.(2), Verat.(2)",4
244,"MIND - UNCONSCIOUSNESS - riding, while"," Berb.(1), Grat.(1), Sep.(2), Sil.(1)",4
245,MIND - UNCONSCIOUSNESS - remains fixed in one spot, Nux-m.(1),1
246,MIND - UNCONSCIOUSNESS - remains fixed in one spot - motionless like a statue," Hyos.(1), Stram.(1)",2
247,"MIND - UNCONSCIOUSNESS - reading, from"," Asaf.(1), Cycl.(1), Tarax.(1)",3
248,"MIND - UNCONSCIOUSNESS - raising arms above head, on"," Lac-d.(2), Lach.(1)",2
249,"MIND - UNCONSCIOUSNESS - pregnancy, during"," Nux-m.(2), Nux-v.(2), Sec.(2)",3
250,MIND - UNCONSCIOUSNESS - perspiration - during, Samb.(1),1
251,MIND - UNCONSCIOUSNESS - periodical," Cic.(2), Fl-ac.(1), Lyc.(1)",3
252,"MIND - UNCONSCIOUSNESS - parturition (delivery), during"," Cimic.(2), Coff.(2), Nux-v.(3), Puls.(2), Sec.(2)",5
253,"MIND - UNCONSCIOUSNESS - pain, from"," Hep.(2), Nux-m.(2), Op.(2), Phyt.(1), Valer.(2)",5
254,"MIND - UNCONSCIOUSNESS - odors, from"," Nux-v.(3), Phos.(2)",2
255,"MIND - UNCONSCIOUSNESS - music, from"," Cann-i.(1), Sumb.(1)",2
256,"MIND - UNCONSCIOUSNESS - motion, on least"," Ars.(3), Verat.(2)",2
257,MIND - UNCONSCIOUSNESS - mental insensibility," Con.(1), Cycl.(1), Hell.(1), Hyos.(2), Laur.(1), Nux-m.(2), Oena.(1), Op.(1), Ph-ac.(1), Phos.(1), Sabad.(1), Sec.(1), Stram.(1)",13
258,MIND - UNCONSCIOUSNESS - menses - suppression of," Acon.(1), Cham.(1), Chin.(1), Con.(1), Lyc.(1), Nux-m.(3), Nux-v.(1), Verat.(1)",8
259,MIND - UNCONSCIOUSNESS - menses - after," Chin.(1), Lach.(2), Lyc.(2)",3
260,MIND - UNCONSCIOUSNESS - menses - during," Apis(1), Cocc.(1), Ign.(2), Lach.(3), Nux-m.(2), Nux-v.(1), Plb.(1), Puls.(1), Sars.(2), Sep.(1), Sulph.(1), Verat.(1)",12
261,MIND - UNCONSCIOUSNESS - menses - before," Murx.(2), Nux-m.(2)",2
262,"MIND - UNCONSCIOUSNESS - lying, while"," Carb-v.(2), Colch.(1), Mag-c.(1), Mag-m.(2)",4
263,"MIND - UNCONSCIOUSNESS - lying, while - with outstretched arms, screaming and tossing", Canth.(2),1
264,MIND - UNCONSCIOUSNESS - looking - upwards, Lach.(1),1
265,"MIND - UNCONSCIOUSNESS - looking - downward, on", Salam.(1),1
266,MIND - UNCONSCIOUSNESS - lies as if dead," Arn.(1), Carb-v.(1)",2
267,MIND - UNCONSCIOUSNESS - knows no one but answers correctly when touched or spoken to, Cic.(1),1
268,MIND - UNCONSCIOUSNESS - interrupted by screaming, Bell.(1),1
269,MIND - UNCONSCIOUSNESS - incomplete," Ars.(1), Carb-ac.(1), Chlor.(1), Crot-h.(1), Cupr.(1), Cupr-ar.(1), Morph.(1), Sec.(1), Stram.(1), Sul-ac.(1)",10
270,"MIND - UNCONSCIOUSNESS - pain in head (headache), with - moving, on"," Calc.(1), Carb-an.(1), Nat-m.(1), Rhus-t.(1)",4
271,MIND - UNCONSCIOUSNESS - frequent spells (Absences / Petit Mal)," Absin.(1), Ars.(3), Art-v.(2), Bapt.(2), Bell.(1), Bufo(1), Cic.(1), Hyos.(2), Ign.(1), Kali-br.(1), Merc-cy.(1), Nat-m.(2), Nux-m.(1), Oena.(1), Phos.(3), Visc.(1)",16
272,MIND - UNCONSCIOUSNESS - frequent spells (Absences / Petit Mal) - absentminded for long periods, Cic.(1),1
273,"MIND - UNCONSCIOUSNESS - fever, during"," Acon.(2), Act-sp.(1), Aeth.(1), Apis(3), Arn.(3), Bapt.(2), Bell.(2), Borx.(1), Bry.(1), Cact.(2), Calc.(1), Colch.(2), Dulc.(2), Eup-per.(1), Hyos.(2), Lach.(2), Laur.(2), Mur-ac.(3), Nat-m.(3), Nux-v.(1), Op.(3), Phos.(2), Puls.(2), Sol-nig.(1), Sulph.(1)",25
274,MIND - UNCONSCIOUSNESS - eyes - with pressure in and obstruction of sight, Seneg.(1),1
275,MIND - UNCONSCIOUSNESS - eyes - cannot open, Gels.(1),1
276,MIND - UNCONSCIOUSNESS - eyes - with fixed," Aeth.(1), Ars.(1), Bov.(1), Camph.(1), Canth.(1), Caust.(2), Cupr.(1), Stram.(1)",8
277,MIND - UNCONSCIOUSNESS - exertion - after," Ars.(2), Calc.(1), Calc-ar.(1), Caust.(2), Cocc.(1), Hyper.(1), Senec.(2), Ther.(2), Verat.(2)",9
278,MIND - UNCONSCIOUSNESS - excitement - after, Nux-m.(1),1
279,"MIND - UNCONSCIOUSNESS - eruptions - exanthema slow to appear, when", Zinc.(3),1
280,"MIND - UNCONSCIOUSNESS - erect, if he remained", Chin.(1),1
281,"MIND - UNCONSCIOUSNESS - epilepsy, after"," Bufo(3), Op.(3), Plb.(1)",3
282,MIND - UNCONSCIOUSNESS - emotion - after," Acon.(2), Am-c.(1), Camph.(1), Caust.(1), Cham.(2), Coff.(3), Ign.(3), Lach.(3), Nux-m.(1), Op.(1), Ph-ac.(2), Verat.(1)",12
283,MIND - UNCONSCIOUSNESS - eating - after," Caust.(1), Mag-m.(2), Nux-v.(2), Ph-ac.(2)",4
284,MIND - UNCONSCIOUSNESS - dream - as if in a," Ambr.(1), Anac.(1), Cann-i.(1), Carb-an.(1), Con.(1), Nux-m.(3), Phos.(1), Rheum(1), Stram.(1), Valer.(1), Verat.(2)",11
285,"MIND - UNCONSCIOUSNESS - dream - as if in a - waking, on", Aesc.(1),1
286,"MIND - UNCONSCIOUSNESS - dream - as if in a - does not know, where he is"," Glon.(2), Merc.(1), Nux-m.(2), Petr.(2), Ran-b.(1)",5
287,MIND - UNCONSCIOUSNESS - dinner - after," Castm.(1), Til.(1)",2
288,"MIND - UNCONSCIOUSNESS - diarrhoea, after", Ars.(1),1
289,MIND - UNCONSCIOUSNESS - delirium - after," Atro.(1), Bry.(1), Phos.(1)",3
290,"MIND - UNCONSCIOUSNESS - crowded room, in a"," Ambr.(1), Ars.(1), Bar-c.(1), Con.(1), Ign.(1), Lyc.(2), Nat-c.(1), Nat-m.(1), Nux-m.(2), Phos.(2), Puls.(3), Sulph.(1)",12
291,MIND - UNCONSCIOUSNESS - cough - between attacks of," Ant-t.(2), Cadm-s.(1)",2
292,MIND - UNCONSCIOUSNESS - convulsions - after," Bufo(3), Canth.(1), Carb-ac.(1), Cic.(2), Oena.(2), Sec.(1)",6
293,"MIND - UNCONSCIOUSNESS - conduct, automatic"," Calc-sil.(1), Camph.(1), Cann-i.(1), Caust.(1), Cic.(1), Con.(1), Cur.(1), Elaps(1), Hyos.(1), Lach.(1), Lyc.(1), Nat-m.(2), Nux-m.(2), Oena.(1), Phos.(2), Sil.(2), Vesp.(2), Visc.(2)",18
294,"MIND - UNCONSCIOUSNESS - concussion of brain, from"," Arn.(2), Hyper.(2), Nat-s.(2), Op.(1)",4
295,MIND - UNCONSCIOUSNESS - cold - after taking a, Sil.(2),1
296,"MIND - UNCONSCIOUSNESS - cold - water, poured over head - amel.", Tab.(1),1
297,MIND - UNCONSCIOUSNESS - coition (sex) - after," Agar.(2), Asaf.(1), Dig.(2)",3
298,MIND - UNCONSCIOUSNESS - chill - during," Ars.(2), Bell.(2), Camph.(1), Caps.(1), Cic.(1), Con.(2), Hep.(2), Kali-c.(1), Nat-m.(3), Nux-v.(1), Op.(1), Puls.(1), Stram.(1), Valer.(1)",14
299,MIND - UNCONSCIOUSNESS - chill - before," Ars.(2), Lach.(2)",2
